,Target User,Compound List,Positive List,Negative List,Neutral List,Date and Time,Tweets Ago
0,CNN,0.0,0.0,0.0,1.0,2018-10-03 17:12:44+00:00,1
1,CNN,0.0,0.0,0.0,1.0,2018-10-03 17:00:01+00:00,2
2,CNN,-0.2023,0.0,0.107,0.893,2018-10-03 16:54:27+00:00,3
3,CNN,0.0,0.0,0.0,1.0,2018-10-03 16:42:08+00:00,4
4,CNN,0.0,0.0,0.0,1.0,2018-10-03 16:35:57+00:00,5
5,CNN,-0.5574,0.0,0.235,0.765,2018-10-03 16:30:12+00:00,6
6,CNN,0.128,0.149,0.088,0.763,2018-10-03 16:21:49+00:00,7
7,CNN,0.0,0.0,0.0,1.0,2018-10-03 16:00:07+00:00,8
8,CNN,0.0772,0.064,0.0,0.936,2018-10-03 16:00:05+00:00,9
9,CNN,-0.4019,0.183,0.247,0.57,2018-10-03 15:43:03+00:00,10
10,CNN,-0.765,0.0,0.28,0.72,2018-10-03 15:25:24+00:00,11
11,CNN,-0.0516,0.154,0.162,0.684,2018-10-03 15:10:04+00:00,12
12,CNN,0.0,0.0,0.0,1.0,2018-10-03 15:00:08+00:00,13
13,CNN,-0.5046,0.05,0.138,0.812,2018-10-03 14:53:03+00:00,14
14,CNN,0.25,0.095,0.0,0.905,2018-10-03 14:50:04+00:00,15
15,CNN,0.0232,0.09,0.087,0.823,2018-10-03 14:40:00+00:00,16
16,CNN,0.0,0.0,0.0,1.0,2018-10-03 14:30:08+00:00,17
17,CNN,0.34,0.103,0.0,0.897,2018-10-03 14:29:13+00:00,18
18,CNN,0.0,0.0,0.0,1.0,2018-10-03 14:21:00+00:00,19
19,CNN,0.2716,0.11,0.0,0.89,2018-10-03 14:20:10+00:00,20
20,CNN,-0.4019,0.0,0.124,0.876,2018-10-03 14:12:48+00:00,1
21,CNN,-0.5574,0.0,0.235,0.765,2018-10-03 14:10:05+00:00,2
22,CNN,0.0,0.0,0.0,1.0,2018-10-03 14:03:08+00:00,3
23,CNN,0.0,0.0,0.0,1.0,2018-10-03 13:50:02+00:00,4
24,CNN,-0.1027,0.086,0.105,0.81,2018-10-03 13:40:00+00:00,5
25,CNN,0.4927,0.144,0.0,0.856,2018-10-03 13:30:00+00:00,6
26,CNN,0.128,0.149,0.088,0.763,2018-10-03 13:18:57+00:00,7
27,CNN,0.8165,0.263,0.0,0.737,2018-10-03 13:15:47+00:00,8
28,CNN,0.25,0.095,0.0,0.905,2018-10-03 13:01:10+00:00,9
29,CNN,0.3612,0.189,0.0,0.811,2018-10-03 12:45:51+00:00,10
30,CNN,-0.4767,0.0,0.154,0.846,2018-10-03 12:34:45+00:00,11
31,CNN,-0.4019,0.183,0.247,0.57,2018-10-03 12:20:46+00:00,12
32,CNN,-0.8519,0.0,0.354,0.646,2018-10-03 12:10:03+00:00,13
33,CNN,-0.5106,0.0,0.125,0.875,2018-10-03 12:07:50+00:00,14
34,CNN,0.0,0.0,0.0,1.0,2018-10-03 12:05:42+00:00,15
35,CNN,-0.0772,0.085,0.096,0.819,2018-10-03 12:01:26+00:00,16
36,CNN,-0.4404,0.0,0.195,0.805,2018-10-03 11:55:55+00:00,17
37,CNN,-0.5106,0.0,0.191,0.809,2018-10-03 11:50:04+00:00,18
38,CNN,-0.2023,0.0,0.107,0.893,2018-10-03 11:44:13+00:00,19
39,CNN,0.0,0.0,0.0,1.0,2018-10-03 11:37:13+00:00,20
40,CNN,0.4019,0.124,0.0,0.876,2018-10-03 11:24:55+00:00,1
41,CNN,-0.0516,0.154,0.162,0.684,2018-10-03 11:15:06+00:00,2
42,CNN,0.5574,0.175,0.0,0.825,2018-10-03 11:12:46+00:00,3
43,CNN,0.0,0.0,0.0,1.0,2018-10-03 10:53:39+00:00,4
44,CNN,0.4939,0.211,0.0,0.789,2018-10-03 10:41:04+00:00,5
45,CNN,0.0,0.0,0.0,1.0,2018-10-03 10:32:05+00:00,6
